"acquisition_campaign_id","accepted_partner_channel_id","campaign_name_synthetic","stage_code","stage_order","stage_count","conversion_rate_from_prior","applicability_status","evidence_status"
ACQ_BROKER_DIRECT,CH_BROKER_NETWORK,Broker-Sourced Direct Application,ENGAGED_OR_RESPONDED,3,22,0.62857143,APPLICABLE,COMPLETE
ACQ_BROKER_DIRECT,CH_BROKER_NETWORK,Broker-Sourced Direct Application,QUALIFIED_LEAD,4,14,0.63636364,APPLICABLE,COMPLETE
ACQ_BROKER_DIRECT,CH_BROKER_NETWORK,Broker-Sourced Direct Application,APPLICATION_STARTED,5,11,0.78571429,APPLICABLE,COMPLETE
ACQ_BROKER_DIRECT,CH_BROKER_NETWORK,Broker-Sourced Direct Application,APPLICATION_SUBMITTED,6,10,0.90909091,APPLICABLE,COMPLETE
ACQ_BROKER_ISO_EAST,CH_BROKER_NETWORK,Broker / ISO East,TARGETED_OR_ELIGIBLE,1,140,,APPLICABLE,PARTIAL
ACQ_BROKER_ISO_EAST,CH_BROKER_NETWORK,Broker / ISO East,DELIVERED_OR_PRESENTED,2,123,0.87857143,APPLICABLE,PARTIAL
ACQ_BROKER_ISO_EAST,CH_BROKER_NETWORK,Broker / ISO East,ENGAGED_OR_RESPONDED,3,77,0.62601626,APPLICABLE,PARTIAL
ACQ_BROKER_ISO_EAST,CH_BROKER_NETWORK,Broker / ISO East,QUALIFIED_LEAD,4,49,0.63636364,APPLICABLE,PARTIAL
ACQ_BROKER_ISO_EAST,CH_BROKER_NETWORK,Broker / ISO East,APPLICATION_STARTED,5,39,0.79591837,APPLICABLE,PARTIAL
ACQ_BROKER_ISO_EAST,CH_BROKER_NETWORK,Broker / ISO East,APPLICATION_SUBMITTED,6,35,0.89743590,APPLICABLE,PARTIAL
ACQ_BROKER_ISO_WEST,CH_BROKER_NETWORK,Broker / ISO West,TARGETED_OR_ELIGIBLE,1,100,,APPLICABLE,PARTIAL
ACQ_BROKER_ISO_WEST,CH_BROKER_NETWORK,Broker / ISO West,DELIVERED_OR_PRESENTED,2,88,0.88000000,APPLICABLE,PARTIAL
ACQ_BROKER_ISO_WEST,CH_BROKER_NETWORK,Broker / ISO West,ENGAGED_OR_RESPONDED,3,55,0.62500000,APPLICABLE,PARTIAL
ACQ_BROKER_ISO_WEST,CH_BROKER_NETWORK,Broker / ISO West,QUALIFIED_LEAD,4,35,0.63636364,APPLICABLE,PARTIAL
ACQ_BROKER_ISO_WEST,CH_BROKER_NETWORK,Broker / ISO West,APPLICATION_STARTED,5,28,0.80000000,APPLICABLE,PARTIAL
ACQ_BROKER_ISO_WEST,CH_BROKER_NETWORK,Broker / ISO West,APPLICATION_SUBMITTED,6,25,0.89285714,APPLICABLE,PARTIAL
ACQ_BROKER_PURCHASED_LEADS,CH_BROKER_NETWORK,Purchased Lead Program,TARGETED_OR_ELIGIBLE,1,80,,APPLICABLE,COMPLETE
ACQ_BROKER_PURCHASED_LEADS,CH_BROKER_NETWORK,Purchased Lead Program,DELIVERED_OR_PRESENTED,2,70,0.87500000,APPLICABLE,COMPLETE
ACQ_BROKER_PURCHASED_LEADS,CH_BROKER_NETWORK,Purchased Lead Program,ENGAGED_OR_RESPONDED,3,44,0.62857143,APPLICABLE,COMPLETE
ACQ_BROKER_PURCHASED_LEADS,CH_BROKER_NETWORK,Purchased Lead Program,QUALIFIED_LEAD,4,28,0.63636364,APPLICABLE,COMPLETE
ACQ_BROKER_PURCHASED_LEADS,CH_BROKER_NETWORK,Purchased Lead Program,APPLICATION_STARTED,5,22,0.78571429,APPLICABLE,COMPLETE
ACQ_BROKER_PURCHASED_LEADS,CH_BROKER_NETWORK,Purchased Lead Program,APPLICATION_SUBMITTED,6,20,0.90909091,APPLICABLE,COMPLETE
ACQ_DIGITAL_DIRECT_MAIL,CH_DIGITAL_DIRECT,Prospect Direct Mail,TARGETED_OR_ELIGIBLE,1,300,,APPLICABLE,COMPLETE
ACQ_DIGITAL_DIRECT_MAIL,CH_DIGITAL_DIRECT,Prospect Direct Mail,DELIVERED_OR_PRESENTED,2,270,0.90000000,APPLICABLE,COMPLETE
ACQ_DIGITAL_DIRECT_MAIL,CH_DIGITAL_DIRECT,Prospect Direct Mail,ENGAGED_OR_RESPONDED,3,75,0.27777778,APPLICABLE,COMPLETE
ACQ_DIGITAL_DIRECT_MAIL,CH_DIGITAL_DIRECT,Prospect Direct Mail,QUALIFIED_LEAD,4,30,0.40000000,APPLICABLE,COMPLETE
ACQ_DIGITAL_DIRECT_MAIL,CH_DIGITAL_DIRECT,Prospect Direct Mail,APPLICATION_STARTED,5,19,0.63333333,APPLICABLE,COMPLETE
ACQ_DIGITAL_DIRECT_MAIL,CH_DIGITAL_DIRECT,Prospect Direct Mail,APPLICATION_SUBMITTED,6,15,0.78947368,APPLICABLE,COMPLETE
ACQ_DIGITAL_DIRECT_NAV,CH_DIGITAL_DIRECT,Direct Navigation Always-On,TARGETED_OR_ELIGIBLE,1,160,,APPLICABLE,PARTIAL
ACQ_DIGITAL_DIRECT_NAV,CH_DIGITAL_DIRECT,Direct Navigation Always-On,DELIVERED_OR_PRESENTED,2,140,0.87500000,APPLICABLE,PARTIAL
ACQ_DIGITAL_DIRECT_NAV,CH_DIGITAL_DIRECT,Direct Navigation Always-On,ENGAGED_OR_RESPONDED,3,70,0.50000000,APPLICABLE,PARTIAL
ACQ_DIGITAL_DIRECT_NAV,CH_DIGITAL_DIRECT,Direct Navigation Always-On,QUALIFIED_LEAD,4,36,0.51428571,APPLICABLE,PARTIAL
ACQ_DIGITAL_DIRECT_NAV,CH_DIGITAL_DIRECT,Direct Navigation Always-On,APPLICATION_STARTED,5,24,0.66666667,APPLICABLE,PARTIAL
ACQ_DIGITAL_DIRECT_NAV,CH_DIGITAL_DIRECT,Direct Navigation Always-On,APPLICATION_SUBMITTED,6,20,0.83333333,APPLICABLE,PARTIAL
ACQ_DIGITAL_EMAIL_RETARGET,CH_DIGITAL_DIRECT,Email and Retargeting,TARGETED_OR_ELIGIBLE,1,120,,APPLICABLE,PARTIAL
ACQ_DIGITAL_EMAIL_RETARGET,CH_DIGITAL_DIRECT,Email and Retargeting,DELIVERED_OR_PRESENTED,2,105,0.87500000,APPLICABLE,PARTIAL
ACQ_DIGITAL_EMAIL_RETARGET,CH_DIGITAL_DIRECT,Email and Retargeting,ENGAGED_OR_RESPONDED,3,53,0.50476190,APPLICABLE,PARTIAL
ACQ_DIGITAL_EMAIL_RETARGET,CH_DIGITAL_DIRECT,Email and Retargeting,QUALIFIED_LEAD,4,27,0.50943396,APPLICABLE,PARTIAL
ACQ_DIGITAL_EMAIL_RETARGET,CH_DIGITAL_DIRECT,Email and Retargeting,APPLICATION_STARTED,5,18,0.66666667,APPLICABLE,PARTIAL
ACQ_DIGITAL_EMAIL_RETARGET,CH_DIGITAL_DIRECT,Email and Retargeting,APPLICATION_SUBMITTED,6,15,0.83333333,APPLICABLE,PARTIAL
ACQ_DIGITAL_ORGANIC_ALWAYS_ON,CH_DIGITAL_DIRECT,Organic Search Always-On,TARGETED_OR_ELIGIBLE,1,200,,APPLICABLE,PARTIAL
ACQ_DIGITAL_ORGANIC_ALWAYS_ON,CH_DIGITAL_DIRECT,Organic Search Always-On,DELIVERED_OR_PRESENTED,2,175,0.87500000,APPLICABLE,PARTIAL
ACQ_DIGITAL_ORGANIC_ALWAYS_ON,CH_DIGITAL_DIRECT,Organic Search Always-On,ENGAGED_OR_RESPONDED,3,88,0.50285714,APPLICABLE,PARTIAL
ACQ_DIGITAL_ORGANIC_ALWAYS_ON,CH_DIGITAL_DIRECT,Organic Search Always-On,QUALIFIED_LEAD,4,45,0.51136364,APPLICABLE,PARTIAL
ACQ_DIGITAL_ORGANIC_ALWAYS_ON,CH_DIGITAL_DIRECT,Organic Search Always-On,APPLICATION_STARTED,5,30,0.66666667,APPLICABLE,PARTIAL
ACQ_DIGITAL_ORGANIC_ALWAYS_ON,CH_DIGITAL_DIRECT,Organic Search Always-On,APPLICATION_SUBMITTED,6,25,0.83333333,APPLICABLE,PARTIAL
ACQ_DIGITAL_PAID_SEARCH_BRAND,CH_DIGITAL_DIRECT,Paid Search — Brand,TARGETED_OR_ELIGIBLE,1,600,,APPLICABLE,COMPLETE
ACQ_DIGITAL_PAID_SEARCH_BRAND,CH_DIGITAL_DIRECT,Paid Search — Brand,DELIVERED_OR_PRESENTED,2,540,0.90000000,APPLICABLE,COMPLETE
ACQ_DIGITAL_PAID_SEARCH_BRAND,CH_DIGITAL_DIRECT,Paid Search — Brand,ENGAGED_OR_RESPONDED,3,150,0.27777778,APPLICABLE,COMPLETE
ACQ_DIGITAL_PAID_SEARCH_BRAND,CH_DIGITAL_DIRECT,Paid Search — Brand,QUALIFIED_LEAD,4,60,0.40000000,APPLICABLE,COMPLETE
ACQ_DIGITAL_PAID_SEARCH_BRAND,CH_DIGITAL_DIRECT,Paid Search — Brand,APPLICATION_STARTED,5,38,0.63333333,APPLICABLE,COMPLETE
ACQ_DIGITAL_PAID_SEARCH_BRAND,CH_DIGITAL_DIRECT,Paid Search — Brand,APPLICATION_SUBMITTED,6,30,0.78947368,APPLICABLE,COMPLETE
ACQ_DIGITAL_PAID_SEARCH_NONBRAND,CH_DIGITAL_DIRECT,Paid Search — Nonbrand,TARGETED_OR_ELIGIBLE,1,500,,APPLICABLE,COMPLETE
ACQ_DIGITAL_PAID_SEARCH_NONBRAND,CH_DIGITAL_DIRECT,Paid Search — Nonbrand,DELIVERED_OR_PRESENTED,2,450,0.90000000,APPLICABLE,COMPLETE
ACQ_DIGITAL_PAID_SEARCH_NONBRAND,CH_DIGITAL_DIRECT,Paid Search — Nonbrand,ENGAGED_OR_RESPONDED,3,125,0.27777778,APPLICABLE,COMPLETE
ACQ_DIGITAL_PAID_SEARCH_NONBRAND,CH_DIGITAL_DIRECT,Paid Search — Nonbrand,QUALIFIED_LEAD,4,50,0.40000000,APPLICABLE,COMPLETE
ACQ_DIGITAL_PAID_SEARCH_NONBRAND,CH_DIGITAL_DIRECT,Paid Search — Nonbrand,APPLICATION_STARTED,5,32,0.64000000,APPLICABLE,COMPLETE
ACQ_DIGITAL_PAID_SEARCH_NONBRAND,CH_DIGITAL_DIRECT,Paid Search — Nonbrand,APPLICATION_SUBMITTED,6,25,0.78125000,APPLICABLE,COMPLETE
ACQ_DIGITAL_PAID_SOCIAL,CH_DIGITAL_DIRECT,Paid Social and Display,TARGETED_OR_ELIGIBLE,1,400,,APPLICABLE,COMPLETE
ACQ_DIGITAL_PAID_SOCIAL,CH_DIGITAL_DIRECT,Paid Social and Display,DELIVERED_OR_PRESENTED,2,360,0.90000000,APPLICABLE,COMPLETE
ACQ_DIGITAL_PAID_SOCIAL,CH_DIGITAL_DIRECT,Paid Social and Display,ENGAGED_OR_RESPONDED,3,100,0.27777778,APPLICABLE,COMPLETE
ACQ_DIGITAL_PAID_SOCIAL,CH_DIGITAL_DIRECT,Paid Social and Display,QUALIFIED_LEAD,4,40,0.40000000,APPLICABLE,COMPLETE
ACQ_DIGITAL_PAID_SOCIAL,CH_DIGITAL_DIRECT,Paid Social and Display,APPLICATION_STARTED,5,25,0.62500000,APPLICABLE,COMPLETE
ACQ_DIGITAL_PAID_SOCIAL,CH_DIGITAL_DIRECT,Paid Social and Display,APPLICATION_SUBMITTED,6,20,0.80000000,APPLICABLE,COMPLETE
ACQ_PARTNER_ASSOCIATION,CH_STRATEGIC_PARTNER,Association Referral Program,TARGETED_OR_ELIGIBLE,1,200,,APPLICABLE,COMPLETE
ACQ_PARTNER_ASSOCIATION,CH_STRATEGIC_PARTNER,Association Referral Program,DELIVERED_OR_PRESENTED,2,180,0.90000000,APPLICABLE,COMPLETE
ACQ_PARTNER_ASSOCIATION,CH_STRATEGIC_PARTNER,Association Referral Program,ENGAGED_OR_RESPONDED,3,100,0.55555556,APPLICABLE,COMPLETE
ACQ_PARTNER_ASSOCIATION,CH_STRATEGIC_PARTNER,Association Referral Program,QUALIFIED_LEAD,4,60,0.60000000,APPLICABLE,COMPLETE
ACQ_PARTNER_ASSOCIATION,CH_STRATEGIC_PARTNER,Association Referral Program,APPLICATION_STARTED,5,46,0.76666667,APPLICABLE,COMPLETE
ACQ_PARTNER_ASSOCIATION,CH_STRATEGIC_PARTNER,Association Referral Program,APPLICATION_SUBMITTED,6,40,0.86956522,APPLICABLE,COMPLETE
ACQ_PARTNER_MERCHANT_SERVICES,CH_STRATEGIC_PARTNER,Merchant Services Partner Referral,TARGETED_OR_ELIGIBLE,1,150,,APPLICABLE,PARTIAL
ACQ_PARTNER_MERCHANT_SERVICES,CH_STRATEGIC_PARTNER,Merchant Services Partner Referral,DELIVERED_OR_PRESENTED,2,135,0.90000000,APPLICABLE,PARTIAL
ACQ_PARTNER_MERCHANT_SERVICES,CH_STRATEGIC_PARTNER,Merchant Services Partner Referral,ENGAGED_OR_RESPONDED,3,75,0.55555556,APPLICABLE,PARTIAL
ACQ_PARTNER_MERCHANT_SERVICES,CH_STRATEGIC_PARTNER,Merchant Services Partner Referral,QUALIFIED_LEAD,4,45,0.60000000,APPLICABLE,PARTIAL
ACQ_PARTNER_MERCHANT_SERVICES,CH_STRATEGIC_PARTNER,Merchant Services Partner Referral,APPLICATION_STARTED,5,35,0.77777778,APPLICABLE,PARTIAL
ACQ_PARTNER_MERCHANT_SERVICES,CH_STRATEGIC_PARTNER,Merchant Services Partner Referral,APPLICATION_SUBMITTED,6,30,0.85714286,APPLICABLE,PARTIAL
ACQ_PARTNER_SOFTWARE_PLATFORM,CH_STRATEGIC_PARTNER,Software Platform Referral,TARGETED_OR_ELIGIBLE,1,250,,APPLICABLE,PARTIAL
ACQ_PARTNER_SOFTWARE_PLATFORM,CH_STRATEGIC_PARTNER,Software Platform Referral,DELIVERED_OR_PRESENTED,2,225,0.90000000,APPLICABLE,PARTIAL
ACQ_PARTNER_SOFTWARE_PLATFORM,CH_STRATEGIC_PARTNER,Software Platform Referral,ENGAGED_OR_RESPONDED,3,125,0.55555556,APPLICABLE,PARTIAL
ACQ_PARTNER_SOFTWARE_PLATFORM,CH_STRATEGIC_PARTNER,Software Platform Referral,QUALIFIED_LEAD,4,75,0.60000000,APPLICABLE,PARTIAL
ACQ_PARTNER_SOFTWARE_PLATFORM,CH_STRATEGIC_PARTNER,Software Platform Referral,APPLICATION_STARTED,5,58,0.77333333,APPLICABLE,PARTIAL
ACQ_PARTNER_SOFTWARE_PLATFORM,CH_STRATEGIC_PARTNER,Software Platform Referral,APPLICATION_SUBMITTED,6,50,0.86206897,APPLICABLE,PARTIAL
ACQ_PROC_AM_REFERRAL,CH_PROCESSOR_DIRECT,Processor Account-Manager Referral,TARGETED_OR_ELIGIBLE,1,210,,APPLICABLE,PARTIAL
ACQ_PROC_AM_REFERRAL,CH_PROCESSOR_DIRECT,Processor Account-Manager Referral,DELIVERED_OR_PRESENTED,2,180,0.85714286,APPLICABLE,PARTIAL
ACQ_PROC_AM_REFERRAL,CH_PROCESSOR_DIRECT,Processor Account-Manager Referral,ENGAGED_OR_RESPONDED,3,120,0.66666667,APPLICABLE,PARTIAL
ACQ_PROC_AM_REFERRAL,CH_PROCESSOR_DIRECT,Processor Account-Manager Referral,QUALIFIED_LEAD,4,84,0.70000000,APPLICABLE,PARTIAL
ACQ_PROC_AM_REFERRAL,CH_PROCESSOR_DIRECT,Processor Account-Manager Referral,APPLICATION_STARTED,5,68,0.80952381,APPLICABLE,PARTIAL
ACQ_PROC_AM_REFERRAL,CH_PROCESSOR_DIRECT,Processor Account-Manager Referral,APPLICATION_SUBMITTED,6,60,0.88235294,APPLICABLE,PARTIAL
ACQ_PROC_EMAIL_OUTREACH,CH_PROCESSOR_DIRECT,Processor Email Outreach,TARGETED_OR_ELIGIBLE,1,360,,APPLICABLE,PARTIAL
ACQ_PROC_EMAIL_OUTREACH,CH_PROCESSOR_DIRECT,Processor Email Outreach,DELIVERED_OR_PRESENTED,2,315,0.87500000,APPLICABLE,PARTIAL
ACQ_PROC_EMAIL_OUTREACH,CH_PROCESSOR_DIRECT,Processor Email Outreach,ENGAGED_OR_RESPONDED,3,198,0.62857143,APPLICABLE,PARTIAL
ACQ_PROC_EMAIL_OUTREACH,CH_PROCESSOR_DIRECT,Processor Email Outreach,QUALIFIED_LEAD,4,135,0.68181818,APPLICABLE,PARTIAL
ACQ_PROC_EMAIL_OUTREACH,CH_PROCESSOR_DIRECT,Processor Email Outreach,APPLICATION_STARTED,5,104,0.77037037,APPLICABLE,PARTIAL
ACQ_PROC_EMAIL_OUTREACH,CH_PROCESSOR_DIRECT,Processor Email Outreach,APPLICATION_SUBMITTED,6,90,0.86538462,APPLICABLE,PARTIAL
ACQ_PROC_PORTAL_ALWAYS_ON,CH_PROCESSOR_DIRECT,Processor Portal Always-On,TARGETED_OR_ELIGIBLE,1,420,,APPLICABLE,PARTIAL
ACQ_PROC_PORTAL_ALWAYS_ON,CH_PROCESSOR_DIRECT,Processor Portal Always-On,DELIVERED_OR_PRESENTED,2,368,0.87619048,APPLICABLE,PARTIAL
ACQ_PROC_PORTAL_ALWAYS_ON,CH_PROCESSOR_DIRECT,Processor Portal Always-On,ENGAGED_OR_RESPONDED,3,231,0.62771739,APPLICABLE,PARTIAL
ACQ_PROC_PORTAL_ALWAYS_ON,CH_PROCESSOR_DIRECT,Processor Portal Always-On,QUALIFIED_LEAD,4,158,0.68398268,APPLICABLE,PARTIAL
ACQ_PROC_PORTAL_ALWAYS_ON,CH_PROCESSOR_DIRECT,Processor Portal Always-On,APPLICATION_STARTED,5,121,0.76582278,APPLICABLE,PARTIAL
ACQ_PROC_PORTAL_ALWAYS_ON,CH_PROCESSOR_DIRECT,Processor Portal Always-On,APPLICATION_SUBMITTED,6,105,0.86776860,APPLICABLE,PARTIAL
