filename,category,source_archive_path,bytes,sha256
M2_12_222A_DIRECTED_RECOVERY_INDEPENDENT_PHYSICAL_READBACK.md,correction,07_source_authority/222A_VALIDATION/M2_12_222A_DIRECTED_RECOVERY_INDEPENDENT_PHYSICAL_READBACK.md,1525,6391ec75bab6831c51256ab1e527f0921044aeae62910251ed3a2e67bd823c7c
M2_12_FINAL_INDEPENDENT_AUDIT_ACCEPTANCE_REPORT_20260812.md,validation,11_independent_audit/current/M2_12_FINAL_INDEPENDENT_AUDIT_ACCEPTANCE_REPORT_20260812.md,4173,e72dc8baf2364dbb69e51f0997369b8de7e8dc53d9c9284c56735ec01f6e8f74
M2_12_LIVE_EXECUTION_EVIDENCE_REVIEW_AND_SIGNOFF.md,validation,M2_12_LIVE_EXECUTION_EVIDENCE_REVIEW_AND_SIGNOFF.md,1068,471aa62d258d99d8f9a69b4dcd89d082373dca71548ccfae5164d7432eaeb83e
M2_12_ACCEPTED_PACKAGE_VALIDATION.md,validation,12_accepted_packaging/M2_12_ACCEPTED_PACKAGE_VALIDATION.md,965,75ca21a8f6bd82edf15c77006fead209bae9128f40048417c77fe87961c6c279
M2_12_WP4_R1_FINAL_SIGNOFF_AND_WP5_AUTHORIZATION_20260810.md,validation,07_governing_inputs/M2_12_WP4_R1_FINAL_SIGNOFF_AND_WP5_AUTHORIZATION_20260810.md,1160,218f2aaa586611710f088d7a508c902aa688dbcf4a5174e259313b395da3b55a
M2_12_WP3_R1_RECONCILED_FINAL_SIGNOFF_AND_WP4_AUTHORIZATION_20260810.md,validation,07_governing_inputs/M2_12_WP3_R1_RECONCILED_FINAL_SIGNOFF_AND_WP4_AUTHORIZATION_20260810.md,1914,3d301a3512d4f40032d1923e57537c14d304dd5d232208f50537dd9d296be2a3
M2_12_WP2_R4_FINAL_SIGNOFF_AND_WP3_REAUTHORIZATION_20260809.md,validation,07_governing_inputs/M2_12_WP2_R4_FINAL_SIGNOFF_AND_WP3_REAUTHORIZATION_20260809.md,1710,e7aea0b73db9db28d6a2ba79a3d2cea81a385c0625a4609aa5f7fb33b5481795
M2_12_POST_CHAIN_R2_FINAL_INDEPENDENT_AUDIT_20260812_REPORT.md,validation,11_independent_audit/history/M2_12_POST_CHAIN_R2_FINAL_INDEPENDENT_AUDIT_20260812_REPORT.md,4752,b7c1337ffea63937a2ce17d0f06c55e9409c3ee8667e4c7da5e687c7dc82a7e6
M2_12_POST_CHAIN_R2_FINAL_INDEPENDENT_AUDIT_20260812_HOLD_AND_REMEDIATION.md,validation,11_independent_audit/history/M2_12_POST_CHAIN_R2_FINAL_INDEPENDENT_AUDIT_20260812_HOLD_AND_REMEDIATION.md,627,6da4a3ffaf50b24731fa3aa495b55b1701f741510ee3ab15e4f9853520f979a9
M2_12_PROGRAM_227_HF27_FINAL_INDEPENDENT_RELEASE_VALIDATION.md,validation,07_source_authority/227_VALIDATION/M2_12_PROGRAM_227_HF27_FINAL_INDEPENDENT_RELEASE_VALIDATION.md,2234,045276ccef4d6279bcd74ffdf1692454407fc93185f0036d658803f4288390f9
M2_12_PROGRAM_227_HF26_FINAL_INDEPENDENT_RELEASE_VALIDATION.md,validation,07_source_authority/227_VALIDATION/M2_12_PROGRAM_227_HF26_FINAL_INDEPENDENT_RELEASE_VALIDATION.md,972,c398a00fcece29a3bf2e4617c69f27829e05104a0cc6ba28d2561d95ff75a5f8
M2_12_PROGRAM_226_HF24_FINAL_PACKAGE_VALIDATION.md,validation,07_source_authority/226_VALIDATION/M2_12_PROGRAM_226_HF24_FINAL_PACKAGE_VALIDATION.md,835,3e06ce4ed0d70d6ce9dbd3a9a97774ec58a8c0fd348fe4bd3d2e471cf82dd89a
M2_12_PROGRAM_225_HF23_FINAL_INDEPENDENT_RELEASE_VALIDATION.md,validation,07_source_authority/225_VALIDATION/M2_12_PROGRAM_225_HF23_FINAL_INDEPENDENT_RELEASE_VALIDATION.md,1157,5b6dc2efa4ca0a275867cb4d5a024849e096292b8e4e9237fb7aaaa1152c6dbf
M2_12_PROGRAM_224_HF14_FINAL_INDEPENDENT_RELEASE_VALIDATION.md,validation,07_source_authority/224_VALIDATION/M2_12_PROGRAM_224_HF14_FINAL_INDEPENDENT_RELEASE_VALIDATION.md,3353,6cd219058d140a9b344c3a6256cbaf93111de4ccf62960aaf2592db2dfa8c3dc
M2_12_WP4_R1_FINAL_INDEPENDENT_AUDIT_REPORT_20260810.md,validation,07_governing_inputs/wp4_independent_audit/M2_12_WP4_R1_FINAL_INDEPENDENT_AUDIT_REPORT_20260810.md,4884,95f846619a26e4f0ed07ee6931768de98cc5e3c559f9fa44e48ba749f7c3209c
M2_12_WP5_R1_FINAL_SIGNOFF_AND_LIVE_EXECUTION_AUTHORIZATION_20260810.md,validation,05_governance/hierarchy_sources/M2_12_WP5_R1_FINAL_SIGNOFF_AND_LIVE_EXECUTION_AUTHORIZATION_20260810.md,1810,d667afeefba92d248145427fadb165a688f7888d465ca3c7050f61c7577fc31b
