public_review_id,canonical_application_id,canonical_merchant_id,parent_acquisition_channel,cohort_membership_type,selection_rank,selection_reason,coverage_conditions,cohort_methodology_version,cohort_set_hash
MSBF-PRC-011,MSBF_POP_0001_M000283_A01,MSBF_POP_0001_M000283,CH_BANK_RELATIONSHIP,CHANNEL_BALANCED_CORE,11,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-012,MSBF_POP_0001_M000517_A01,MSBF_POP_0001_M000517,CH_BANK_RELATIONSHIP,CHANNEL_BALANCED_CORE,12,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-013,MSBF_POP_0001_M000226_A01,MSBF_POP_0001_M000226,CH_BANK_RELATIONSHIP,CHANNEL_BALANCED_CORE,13,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-014,MSBF_POP_0001_M000668_A01,MSBF_POP_0001_M000668,CH_BANK_RELATIONSHIP,CHANNEL_BALANCED_CORE,14,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-015,MSBF_POP_0001_M000451_A01,MSBF_POP_0001_M000451,CH_BANK_RELATIONSHIP,CHANNEL_BALANCED_CORE,15,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-016,MSBF_POP_0001_M000258_A01,MSBF_POP_0001_M000258,CH_BANK_RELATIONSHIP,CHANNEL_BALANCED_CORE,16,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-017,MSBF_POP_0001_M000132_A01,MSBF_POP_0001_M000132,CH_DIGITAL_DIRECT,CHANNEL_BALANCED_CORE,17,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-018,MSBF_POP_0001_M000299_A01,MSBF_POP_0001_M000299,CH_DIGITAL_DIRECT,CHANNEL_BALANCED_CORE,18,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-019,MSBF_POP_0001_M000131_A01,MSBF_POP_0001_M000131,CH_DIGITAL_DIRECT,CHANNEL_BALANCED_CORE,19,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-020,MSBF_POP_0001_M000706_A01,MSBF_POP_0001_M000706,CH_DIGITAL_DIRECT,CHANNEL_BALANCED_CORE,20,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-021,MSBF_POP_0001_M000625_A01,MSBF_POP_0001_M000625,CH_DIGITAL_DIRECT,CHANNEL_BALANCED_CORE,21,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-022,MSBF_POP_0001_M000367_A01,MSBF_POP_0001_M000367,CH_DIGITAL_DIRECT,CHANNEL_BALANCED_CORE,22,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-023,MSBF_POP_0001_M000606_A01,MSBF_POP_0001_M000606,CH_DIGITAL_DIRECT,CHANNEL_BALANCED_CORE,23,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-024,MSBF_POP_0001_M000275_A01,MSBF_POP_0001_M000275,CH_DIGITAL_DIRECT,CHANNEL_BALANCED_CORE,24,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-025,MSBF_POP_0001_M000484_A01,MSBF_POP_0001_M000484,CH_STRATEGIC_PARTNER,CHANNEL_BALANCED_CORE,25,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-026,MSBF_POP_0001_M000235_A01,MSBF_POP_0001_M000235,CH_STRATEGIC_PARTNER,CHANNEL_BALANCED_CORE,26,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-027,MSBF_POP_0001_M000739_A01,MSBF_POP_0001_M000739,CH_STRATEGIC_PARTNER,CHANNEL_BALANCED_CORE,27,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-028,MSBF_POP_0001_M000379_A01,MSBF_POP_0001_M000379,CH_STRATEGIC_PARTNER,CHANNEL_BALANCED_CORE,28,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-029,MSBF_POP_0001_M000184_A01,MSBF_POP_0001_M000184,CH_STRATEGIC_PARTNER,CHANNEL_BALANCED_CORE,29,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-030,MSBF_POP_0001_M000508_A01,MSBF_POP_0001_M000508,CH_STRATEGIC_PARTNER,CHANNEL_BALANCED_CORE,30,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-031,MSBF_POP_0001_M000316_A01,MSBF_POP_0001_M000316,CH_STRATEGIC_PARTNER,CHANNEL_BALANCED_CORE,31,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-032,MSBF_POP_0001_M000130_A01,MSBF_POP_0001_M000130,CH_STRATEGIC_PARTNER,CHANNEL_BALANCED_CORE,32,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-033,MSBF_POP_0001_M000345_A01,MSBF_POP_0001_M000345,CH_BROKER_NETWORK,CHANNEL_BALANCED_CORE,33,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-034,MSBF_POP_0001_M000422_A01,MSBF_POP_0001_M000422,CH_BROKER_NETWORK,CHANNEL_BALANCED_CORE,34,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-035,MSBF_POP_0001_M000403_A01,MSBF_POP_0001_M000403,CH_BROKER_NETWORK,CHANNEL_BALANCED_CORE,35,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-036,MSBF_POP_0001_M000591_A01,MSBF_POP_0001_M000591,CH_BROKER_NETWORK,CHANNEL_BALANCED_CORE,36,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-037,MSBF_POP_0001_M000654_A01,MSBF_POP_0001_M000654,CH_BROKER_NETWORK,CHANNEL_BALANCED_CORE,37,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-038,MSBF_POP_0001_M000032_A01,MSBF_POP_0001_M000032,CH_BROKER_NETWORK,CHANNEL_BALANCED_CORE,38,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-039,MSBF_POP_0001_M000390_A01,MSBF_POP_0001_M000390,CH_BROKER_NETWORK,CHANNEL_BALANCED_CORE,39,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-040,MSBF_POP_0001_M000139_A01,MSBF_POP_0001_M000139,CH_BROKER_NETWORK,CHANNEL_BALANCED_CORE,40,Eight deterministic hash-ranked applications selected within the accepted parent channel.,CHANNEL_BALANCE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-041,MSBF_POP_0001_M000001_A01,MSBF_POP_0001_M000001,CH_DIGITAL_DIRECT,GOVERNANCE_COVERAGE_ANCHOR,41,Complete attribution evidence with blocked M1.15 risk/economics evidence; digital paid-search source.,ACCEPTED_G2_SAMPLE_COVERAGE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-042,MSBF_POP_0001_M000002_A01,MSBF_POP_0001_M000002,CH_PROCESSOR_DIRECT,GOVERNANCE_COVERAGE_ANCHOR,42,Baseline above-hurdle to stress below-hurdle movement; processor-direct source.,ACCEPTED_G2_SAMPLE_COVERAGE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-043,MSBF_POP_0001_M000003_A01,MSBF_POP_0001_M000003,CH_DIGITAL_DIRECT,GOVERNANCE_COVERAGE_ANCHOR,43,Healthcare merchant with baseline partial evidence and stress-blocked economics.,ACCEPTED_G2_SAMPLE_COVERAGE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-044,MSBF_POP_0001_M000004_A01,MSBF_POP_0001_M000004,CH_BANK_RELATIONSHIP,GOVERNANCE_COVERAGE_ANCHOR,44,Bank-relationship acquisition source with baseline above-hurdle evidence.,ACCEPTED_G2_SAMPLE_COVERAGE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-045,MSBF_POP_0001_M000005_A01,MSBF_POP_0001_M000005,CH_DIGITAL_DIRECT,GOVERNANCE_COVERAGE_ANCHOR,45,Returning digital merchant with complete attribution evidence and materially higher supported acquisition cost.,ACCEPTED_G2_SAMPLE_COVERAGE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-046,MSBF_POP_0001_M000006_A01,MSBF_POP_0001_M000006,CH_STRATEGIC_PARTNER,GOVERNANCE_COVERAGE_ANCHOR,46,Strategic-partner source with disrupted processor continuity and blocked risk/economics evidence.,ACCEPTED_G2_SAMPLE_COVERAGE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-047,MSBF_POP_0001_M000007_A01,MSBF_POP_0001_M000007,CH_STRATEGIC_PARTNER,GOVERNANCE_COVERAGE_ANCHOR,47,Strategic-partner merchant moving from below-hurdle to negative contribution under stress.,ACCEPTED_G2_SAMPLE_COVERAGE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-048,MSBF_POP_0001_M000009_A01,MSBF_POP_0001_M000009,CH_STRATEGIC_PARTNER,GOVERNANCE_COVERAGE_ANCHOR,48,Hard-stop record with insufficient verification evidence and strategic-partner acquisition source.,ACCEPTED_G2_SAMPLE_COVERAGE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-049,MSBF_POP_0001_M000010_A01,MSBF_POP_0001_M000010,CH_DIGITAL_DIRECT,GOVERNANCE_COVERAGE_ANCHOR,49,Digital acquisition with negative contribution in both matched scenarios.,ACCEPTED_G2_SAMPLE_COVERAGE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
MSBF-PRC-050,MSBF_POP_0001_M000012_A01,MSBF_POP_0001_M000012,CH_PROCESSOR_DIRECT,GOVERNANCE_COVERAGE_ANCHOR,50,Processor-direct hard-stop record with STOP verification disposition and blocked M1.15 evidence.,ACCEPTED_G2_SAMPLE_COVERAGE,PUBLIC_REVIEW_COHORT_V1,d44e563a81380a45cf81499d0daebbab
