domain,object_name,field_name,data_type,grain,business_purpose,source_or_formula,validation_use
PHYSICAL_OUTPUT,msbf_m1.merchant_pos_daily_scenario,zero_sales_day_flag,boolean,Scenario × merchant × date,Scenario-adjusted daily POS history; baseline retained separately.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_pos_daily_scenario,processor_status,text,Scenario × merchant × date,Scenario-adjusted daily POS history; baseline retained separately.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_pos_daily_scenario,data_connection_status,text,Scenario × merchant × date,Scenario-adjusted daily POS history; baseline retained separately.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_pos_daily_scenario,source_contract_id,bigint,Scenario × merchant × date,Scenario-adjusted daily POS history; baseline retained separately.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_pos_daily_scenario,generated_by_run_id,bigint,Scenario × merchant × date,Scenario-adjusted daily POS history; baseline retained separately.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_pos_daily_scenario,row_hash,text,Scenario × merchant × date,Scenario-adjusted daily POS history; baseline retained separately.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_deposit_daily_scenario,scenario_row_id,bigint GENERATED ALWAYS AS IDENTITY,Scenario × merchant × date,Scenario-adjusted deposit/liquidity history.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_deposit_daily_scenario,scenario_id,bigint,Scenario × merchant × date,Scenario-adjusted deposit/liquidity history.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_deposit_daily_scenario,base_row_hash,text,Scenario × merchant × date,Scenario-adjusted deposit/liquidity history.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_deposit_daily_scenario,scenario_overlay_payload,jsonb,Scenario × merchant × date,Scenario-adjusted deposit/liquidity history.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_deposit_daily_scenario,population_id,text,Scenario × merchant × date,Scenario-adjusted deposit/liquidity history.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_deposit_daily_scenario,merchant_id,text,Scenario × merchant × date,Scenario-adjusted deposit/liquidity history.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_deposit_daily_scenario,observation_date,date,Scenario × merchant × date,Scenario-adjusted deposit/liquidity history.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_deposit_daily_scenario,opening_balance,"numeric(18,2)",Scenario × merchant × date,Scenario-adjusted deposit/liquidity history.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_deposit_daily_scenario,deposit_amount,"numeric(18,2)",Scenario × merchant × date,Scenario-adjusted deposit/liquidity history.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_deposit_daily_scenario,withdrawal_amount,"numeric(18,2)",Scenario × merchant × date,Scenario-adjusted deposit/liquidity history.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_deposit_daily_scenario,closing_balance,"numeric(18,2)",Scenario × merchant × date,Scenario-adjusted deposit/liquidity history.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_deposit_daily_scenario,available_balance,"numeric(18,2)",Scenario × merchant × date,Scenario-adjusted deposit/liquidity history.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_deposit_daily_scenario,minimum_balance,"numeric(18,2)",Scenario × merchant × date,Scenario-adjusted deposit/liquidity history.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_deposit_daily_scenario,nsf_count,smallint,Scenario × merchant × date,Scenario-adjusted deposit/liquidity history.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_deposit_daily_scenario,negative_balance_flag,boolean,Scenario × merchant × date,Scenario-adjusted deposit/liquidity history.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_deposit_daily_scenario,source_contract_id,bigint,Scenario × merchant × date,Scenario-adjusted deposit/liquidity history.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_deposit_daily_scenario,generated_by_run_id,bigint,Scenario × merchant × date,Scenario-adjusted deposit/liquidity history.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
PHYSICAL_OUTPUT,msbf_m1.merchant_deposit_daily_scenario,row_hash,text,Scenario × merchant × date,Scenario-adjusted deposit/liquidity history.,Physical scenario output,"Physical grain, accounting, lineage, or canonical hash validation"
POS_DIAGNOSTIC,m1_6_pos_scenario_blueprint,scenario_code,text,Scenario × merchant × date,Human-readable scenario identity,scenario_registry.scenario_code,Scenario registration and matched comparison
POS_DIAGNOSTIC,m1_6_pos_scenario_blueprint,industry_code,text,Scenario × merchant × date,Industry transmission segment,Accepted M1.4 merchant profile,Industry stress diagnostics
POS_DIAGNOSTIC,m1_6_pos_scenario_blueprint,shock_active_flag,boolean,Scenario × merchant × date,Direct-shock window indicator,observation_date >= shock_start_date,Direct-window control
POS_DIAGNOSTIC,m1_6_pos_scenario_blueprint,propagation_active_flag,boolean,Scenario × merchant × date,Propagated-shock window indicator,observation_date >= propagation_start_date,Lag and propagation control
POS_DIAGNOSTIC,m1_6_pos_scenario_blueprint,scenario_outage_flag,boolean,Scenario × merchant × date,Incremental scenario outage event,Deterministic outage draw,Outage direction
POS_DIAGNOSTIC,m1_6_pos_scenario_blueprint,incremental_zero_sales_flag,boolean,Scenario × merchant × date,Incremental zero-sales event,Deterministic industry-conditioned draw,Zero-sales diagnostics
POS_DIAGNOSTIC,m1_6_pos_scenario_blueprint,volatility_overlay_factor,"numeric(12,8)",Scenario × merchant × date,Bounded deterministic volatility perturbation,Scenario volatility multiplier and deterministic draw,Scenario variation evidence
POS_DIAGNOSTIC,m1_6_pos_scenario_blueprint,total_sales_factor,"numeric(12,8)",Scenario × merchant × date,"Combined direct, propagated, and volatility factor",direct × propagated × volatility,Stress attribution
DEPOSIT_DIAGNOSTIC,m1_6_deposit_scenario_blueprint,liquidity_risk_tier,smallint,Scenario × merchant × date,Accepted provisional liquidity segment,M1.5 merchant liquidity profile,Liquidity diagnostics
DEPOSIT_DIAGNOSTIC,m1_6_deposit_scenario_blueprint,base_pos_deposit_amount,"numeric(18,2)",Scenario × merchant × date,Scenario POS-linked deposit component,Scenario net merchant proceeds × capture rate × multiplier,Deposit direction
DEPOSIT_DIAGNOSTIC,m1_6_deposit_scenario_blueprint,support_deposit_amount,"numeric(18,2)",Scenario × merchant × date,Bounded synthetic non-POS support,Governed lower-balance floor algorithm,Liquidity support evidence
DEPOSIT_DIAGNOSTIC,m1_6_deposit_scenario_blueprint,temporary_hold_amount,"numeric(18,2)",Scenario × merchant × date,Scenario temporary hold proxy,Transaction-quality amounts and deterministic hold factor,Available-balance identity
DEPOSIT_DIAGNOSTIC,m1_6_deposit_scenario_blueprint,adjusted_nsf_probability,"numeric(12,8)",Scenario × merchant × date,Scenario NSF propensity,"Risk tier, liquidity state, and obligation multiplier",NSF diagnostics
DEPOSIT_DIAGNOSTIC,m1_6_deposit_scenario_blueprint,liquidity_event_code,text,Scenario × merchant × date,Dominant daily liquidity condition,Ordered event-routing logic,Liquidity-event diagnostics
