Schema,Table,Priority,Grain,Primary key,Principal foreign keys,Temporal key,Owner,Persistence
m2,elasticity_result,P0,one offer candidate/model version,offer_candidate_key + elasticity_version,offer_candidate,as_of_date,Module 2,archive
m2,regulatory_applicability_snapshot,P0,one final offer/requirement,final_offer_id + requirement_id,offer_decision + regulatory_requirement,decision_date,Module 2,archive
m2,offer_compliance_package,P0,one final offer/package version,final_offer_id + package_version,offer_decision,decision_date,Module 2,archive
m2,offer_decision,P0,one strategy/application,module2_run_id + merchant_application_id,offer_candidate,decision_date,Module 2,archive
m2,offer_reason_code,P0,one decision/reason/rank,offer_decision_key + reason_rank,offer_decision,decision_date,Module 2,archive
m2,portfolio_allocation_result,P0,one allocation run/final offer,allocation_run_id + final_offer_id,offer_decision,allocation_date,Module 2,archive
m2,credit_facility,P0,one facility,facility_id,merchant_id + final_offer_id,open_date,Module 2,archive
m2,facility_limit_snapshot,P0,one facility/effective date,facility_id + effective_start_date,facility_id,effective_start_date,Module 2,archive
m2,financing_advance,P0,one booked advance,advance_id,facility_id + final_offer_id,funding_date,Module 2,archive
m2,advance_balance_schedule,P0,one advance/relative day,advance_id + relative_day,advance_id,funding_date,Module 2,archive
m2,collateral_asset,P0,one collateral asset/pool,collateral_asset_id,merchant_id,created_date,Module 2,archive
m2,collateral_valuation_snapshot,P0,one asset/valuation date,collateral_asset_id + valuation_date,collateral_asset_id,valuation_date,Module 2,archive
m2,guarantee,P0,one guarantee/version,guarantee_id,facility_id + party_id,effective_start_date,Module 2,archive
m2,advance_collateral_link,P0,one advance/collateral/effective period,advance_id + collateral_asset_id + effective_start,advance_id + collateral_asset_id,effective_start_date,Module 2,archive
m2,covenant_definition,P0,one covenant/version,covenant_definition_id,policy_profile_id,effective_start_date,Module 2,archive
m2,advance_covenant,P0,one advance/covenant/effective period,advance_id + covenant_definition_id + effective_start,advance_id + covenant_definition_id,effective_start_date,Module 2,archive
m3,daily_remittance_performance,P0,one advance/date,advance_id + performance_date,advance_id,performance_date,Module 3,archive fact
m3,minimum_progress_checkpoint_result,P0,one advance/checkpoint,advance_id + checkpoint_id,advance_id,checkpoint_date,Module 3,archive
m3,processor_continuity_event,P0,one processor event,processor_event_id,processor_account_id + advance_id,event_date,Module 3,archive
m3,covenant_test_result,P0,one advance/covenant/test date,advance_id + covenant_id + test_date,advance_covenant,test_date,Module 3,archive
m3,merchant_health_snapshot,P0,one facility/review date,facility_id + review_date,facility_id,review_date,Module 3,archive
m3,early_warning_event,P0,one event,early_warning_event_id,facility_id + advance_id,event_date,Module 3,archive
m3,line_management_candidate,P0,one facility/review/candidate,facility_id + review_date + candidate_id,merchant_health_snapshot,review_date,Module 3,archive
m3,line_management_action,P0,one facility/review/action version,facility_id + review_date + action_version,merchant_health_snapshot,review_date,Module 3,archive
m3,loss_mitigation_candidate,P0,one advance/review/treatment,advance_id + review_date + treatment_id,advance_id,review_date,Module 3,archive
m3,performance_state_transition,P0,one advance/transition timestamp,advance_id + transition_timestamp,advance_id,transition_timestamp,Module 3,archive
m3,renewal_candidate,P1,one facility/review/candidate,facility_id + review_date + renewal_candidate_id,merchant_health_snapshot,review_date,Module 3,archive
m3,workout_action,P1,one advance/action event,workout_action_id,advance_id + treatment_id,action_date,Module 3,archive
m4,economic_scenario,P0,one scenario/version,economic_scenario_id,scenario_registry,effective_start_date,Module 4,archive
m4,scenario_factor_shock,P0,one scenario/factor/period,economic_scenario_id + factor_code + period,economic_scenario_id,scenario_date,Module 4,archive
m4,industry_dependency,P0,one source/dependent/channel/version,dependency_id,source_industry_id + dependent_industry_id,effective_start_date,Module 4,archive
m4,scenario_industry_shock,P0,one scenario/industry/period,economic_scenario_id + industry_id + period,economic_scenario_id + industry_id,scenario_date,Module 4,archive
m4,stress_merchant_result,P0,one stress run/merchant,stress_run_id + merchant_id,merchant_id + economic_scenario_id,as_of_date,Module 4,archive
m4,portfolio_segment_snapshot,P0,one run/segment level/key,run_id + segment_level + segment_key,run_id,as_of_date,Module 4,archive
m4,portfolio_limit_status,P0,one run/limit/segment,run_id + limit_id + segment_key,risk_appetite_limit,as_of_date,Module 4,archive
m4,strategy_frontier_result,P0,one portfolio/strategy/scenario,portfolio_snapshot_id + strategy_id + scenario_id,strategy_profile + economic_scenario,as_of_date,Module 4,archive
m4,strategy_robustness_result,P0,one portfolio/strategy,portfolio_snapshot_id + strategy_id,strategy_profile,as_of_date,Module 4,archive
m4,capacity_allocation_result,P1,one allocation run/segment,allocation_run_id + segment_key,portfolio_segment_snapshot,allocation_date,Module 4,archive
