control_code,area,subject,observed,required,status,detail
UP220,UPSTREAM_PRESERVATION,220 SHA-256,757462b1d3c323be9cbe3a98fd5c9a822719ca6e9a15b698644c0650b5413298,757462b1d3c323be9cbe3a98fd5c9a822719ca6e9a15b698644c0650b5413298,PASS,
UP221,UPSTREAM_PRESERVATION,221 SHA-256,774f96643c16a8f2191b057afa01f311c1b663f79e2bf353dcd0d6cd5cc6c909,774f96643c16a8f2191b057afa01f311c1b663f79e2bf353dcd0d6cd5cc6c909,PASS,
UP222,UPSTREAM_PRESERVATION,222 SHA-256,6e29dba9043675094fb9c399895895b9230e1b96976e5e4af7a7a48e094d51fe,6e29dba9043675094fb9c399895895b9230e1b96976e5e4af7a7a48e094d51fe,PASS,
UP220A,UPSTREAM_PRESERVATION,220A SHA-256,7510697598eb033e95d4d0fb3ff540c41dd0df810577312949b8ef57f1076d93,7510697598eb033e95d4d0fb3ff540c41dd0df810577312949b8ef57f1076d93,PASS,
UP222A,UPSTREAM_PRESERVATION,222A SHA-256,8087d51cd6d1dbcf89371d4219e787b53221ddf3a5959053af1306fef0967627,8087d51cd6d1dbcf89371d4219e787b53221ddf3a5959053af1306fef0967627,PASS,
UP222B,UPSTREAM_PRESERVATION,222B SHA-256,056f277eb07ef2144cb06e6afdd0158ea5ad07b96ecc56f0e34813852c1c790a,056f277eb07ef2144cb06e6afdd0158ea5ad07b96ecc56f0e34813852c1c790a,PASS,
UP223,UPSTREAM_PRESERVATION,223 SHA-256,ccb301785dc8a2a80126bc2d70c7d8dfd0db91b2d51b008fb733745ae26d7158,ccb301785dc8a2a80126bc2d70c7d8dfd0db91b2d51b008fb733745ae26d7158,PASS,
UP224,UPSTREAM_PRESERVATION,224 SHA-256,c010ed61c7f93da457235e01902f280596f706f42f232464fac546fd13dbda36,c010ed61c7f93da457235e01902f280596f706f42f232464fac546fd13dbda36,PASS,
UP223A,UPSTREAM_PRESERVATION,223A SHA-256,0e65e3534440414f598a360e7fb67f1b299a4c4bc9883c80c686510af4ff6969,0e65e3534440414f598a360e7fb67f1b299a4c4bc9883c80c686510af4ff6969,PASS,
UPBWP2220,UPSTREAM_PRESERVATION,220 embedded byte identity,757462b1d3c323be9cbe3a98fd5c9a822719ca6e9a15b698644c0650b5413298,757462b1d3c323be9cbe3a98fd5c9a822719ca6e9a15b698644c0650b5413298,PASS,
UPBWP2221,UPSTREAM_PRESERVATION,221 embedded byte identity,774f96643c16a8f2191b057afa01f311c1b663f79e2bf353dcd0d6cd5cc6c909,774f96643c16a8f2191b057afa01f311c1b663f79e2bf353dcd0d6cd5cc6c909,PASS,
UPBWP2222,UPSTREAM_PRESERVATION,222 embedded byte identity,6e29dba9043675094fb9c399895895b9230e1b96976e5e4af7a7a48e094d51fe,6e29dba9043675094fb9c399895895b9230e1b96976e5e4af7a7a48e094d51fe,PASS,
UPBWP2220A,UPSTREAM_PRESERVATION,220A embedded byte identity,7510697598eb033e95d4d0fb3ff540c41dd0df810577312949b8ef57f1076d93,7510697598eb033e95d4d0fb3ff540c41dd0df810577312949b8ef57f1076d93,PASS,
UPBWP2222A,UPSTREAM_PRESERVATION,222A embedded byte identity,8087d51cd6d1dbcf89371d4219e787b53221ddf3a5959053af1306fef0967627,8087d51cd6d1dbcf89371d4219e787b53221ddf3a5959053af1306fef0967627,PASS,
UPBWP2222B,UPSTREAM_PRESERVATION,222B embedded byte identity,056f277eb07ef2144cb06e6afdd0158ea5ad07b96ecc56f0e34813852c1c790a,056f277eb07ef2144cb06e6afdd0158ea5ad07b96ecc56f0e34813852c1c790a,PASS,
UPBWP3223,UPSTREAM_PRESERVATION,223 embedded byte identity,ccb301785dc8a2a80126bc2d70c7d8dfd0db91b2d51b008fb733745ae26d7158,ccb301785dc8a2a80126bc2d70c7d8dfd0db91b2d51b008fb733745ae26d7158,PASS,
UPBWP3224,UPSTREAM_PRESERVATION,224 embedded byte identity,c010ed61c7f93da457235e01902f280596f706f42f232464fac546fd13dbda36,c010ed61c7f93da457235e01902f280596f706f42f232464fac546fd13dbda36,PASS,
UPBWP3223A,UPSTREAM_PRESERVATION,223A embedded byte identity,0e65e3534440414f598a360e7fb67f1b299a4c4bc9883c80c686510af4ff6969,0e65e3534440414f598a360e7fb67f1b299a4c4bc9883c80c686510af4ff6969,PASS,
SRC225A,SQL_SOURCE,225 bytes,196837,196837,PASS,
SRC225B,SQL_SOURCE,225 SHA-256,3769fe5c43d8d8aafe18e3e3d4538bd696dc370fd4ca080fa3fa5cfbad625119,3769fe5c43d8d8aafe18e3e3d4538bd696dc370fd4ca080fa3fa5cfbad625119,PASS,
SRC225C,SQL_SOURCE,225 lexical balance,normal/0/0,normal/0/nonnegative,PASS,
SRC225D,SQL_SOURCE,225 BEGIN count,1,1,PASS,
SRC225E,SQL_SOURCE,225 COMMIT count,1,1,PASS,
SRC225F,SQL_SOURCE,225 placeholders,0,0,PASS,
SRC225G,SQL_SOURCE,225 floating SQL types,0,0,PASS,
SRC225H,SQL_SOURCE,225 dynamic EXECUTE,0,0,PASS,
SRC225I,SQL_SOURCE,225 unresolved temp names,0,0,PASS,
SRC225J,SQL_SOURCE,225 PL/pgSQL terminators,0,0,PASS,
SRC225K,SQL_SOURCE,225 destinationless SELECTs,0,0,PASS,
SRC226A,SQL_SOURCE,226 bytes,116188,116188,PASS,
SRC226B,SQL_SOURCE,226 SHA-256,e43bab189d439f0e09ad879ea253f6162560e5b157b71f030eaa3ff16b9e3f56,e43bab189d439f0e09ad879ea253f6162560e5b157b71f030eaa3ff16b9e3f56,PASS,
SRC226C,SQL_SOURCE,226 lexical balance,normal/0/0,normal/0/nonnegative,PASS,
SRC226D,SQL_SOURCE,226 BEGIN count,1,1,PASS,
SRC226E,SQL_SOURCE,226 COMMIT count,1,1,PASS,
SRC226F,SQL_SOURCE,226 placeholders,0,0,PASS,
SRC226G,SQL_SOURCE,226 floating SQL types,0,0,PASS,
SRC226H,SQL_SOURCE,226 dynamic EXECUTE,0,0,PASS,
SRC226I,SQL_SOURCE,226 unresolved temp names,0,0,PASS,
SRC226J,SQL_SOURCE,226 PL/pgSQL terminators,0,0,PASS,
SRC226K,SQL_SOURCE,226 destinationless SELECTs,0,0,PASS,
SRC227A,SQL_SOURCE,227 bytes,131787,131787,PASS,
SRC227B,SQL_SOURCE,227 SHA-256,17a27cb49fe0611953d5bc499c15513d46d8768fe441ed1fd0bfb126f3300b50,17a27cb49fe0611953d5bc499c15513d46d8768fe441ed1fd0bfb126f3300b50,PASS,
SRC227C,SQL_SOURCE,227 lexical balance,normal/0/0,normal/0/nonnegative,PASS,
SRC227D,SQL_SOURCE,227 BEGIN count,1,1,PASS,
SRC227E,SQL_SOURCE,227 COMMIT count,1,1,PASS,
SRC227F,SQL_SOURCE,227 placeholders,0,0,PASS,
SRC227G,SQL_SOURCE,227 floating SQL types,0,0,PASS,
SRC227H,SQL_SOURCE,227 dynamic EXECUTE,0,0,PASS,
SRC227I,SQL_SOURCE,227 unresolved temp names,0,0,PASS,
SRC227J,SQL_SOURCE,227 PL/pgSQL terminators,0,0,PASS,
SRC227K,SQL_SOURCE,227 destinationless SELECTs,0,0,PASS,
ENG001,ENGINEERING,Persistent INSERTs lacking target columns,0,0,PASS,
ENG002,ENGINEERING,Persistent INSERT SELECT *,0,0,PASS,
ENG003,ENGINEERING,Aggregates without local ORDER BY,0,0,PASS,
ENG004,ENGINEERING,Overlength identifiers,0,0,PASS,
P225001,PROGRAM_225,Acceptance rows,48,48,PASS,
P225002,PROGRAM_225,Acceptance codes,48,48,PASS,
P225003,PROGRAM_225,Frozen matrix parity,True,True,PASS,
P225004,PROGRAM_225,Call/matrix reconciliation,48/48,48/48,PASS,
P225005,PROGRAM_225,Requirement block hashes,48/48,48/48,PASS,
P225006,PROGRAM_225,Acceptance phases,8,8,PASS,
P225007,PROGRAM_225,Frozen phase parity,True,True,PASS,
P225008,PROGRAM_225,Physical phase order,True,True,PASS,
P225009,PROGRAM_225,Requirements 001–047 pre-write,47,47,PASS,
P225010,PROGRAM_225,Requirement 048 post-write,True,True,PASS,
P225011,PROGRAM_225,Persistent INSERT targets,msbf_ctl.acceptance_gate_result|msbf_ctl.run_evidence,acceptance_gate_result|run_evidence,PASS,
P225012,PROGRAM_225,Persistent UPDATE targets,msbf_ctl.m2_12_g3_bundle_registry|msbf_ctl.run_registry,g3 registry|run registry,PASS,
P225013,PROGRAM_225,Persistent DELETE count,0,0,PASS,
P225014,PROGRAM_225,Lifecycle rowcount gate,True,True,PASS,
P225015,PROGRAM_225,1|1|1|1 gate,True,True,PASS,
P225016,PROGRAM_225,Pre/post reconstruction parity,True,True,PASS,
P225017,PROGRAM_225,Fingerprint dimensions,True,True,PASS,
P225018,PROGRAM_225,Final 48/48 gate,True,True,PASS,
P226001,PROGRAM_226,Persistent DML,0,0,PASS,
P226002,PROGRAM_226,Persistent DDL,0,0,PASS,
P226003,PROGRAM_226,Temporary prefixes,0,0,PASS,
P226004,PROGRAM_226,Result sets after commit,1,1,PASS,
P226005,PROGRAM_226,Final projection uniqueness,92/92,unique,PASS,
P226006,PROGRAM_226,14-row output traceability,14/14,14/14,PASS,
P226007,PROGRAM_226,Traceability rows,14,14,PASS,
P226008,PROGRAM_226,One-row PASS gate,True,True,PASS,
P226009,PROGRAM_226,Fingerprint query parity,True,True,PASS,
P226010,PROGRAM_226,Fingerprint guard,True,True,PASS,
P226011,PROGRAM_226,Result survives commit,True,True,PASS,
P227001,PROGRAM_227,Persistent DML,0,0,PASS,
P227002,PROGRAM_227,Persistent DDL,0,0,PASS,
P227003,PROGRAM_227,Temporary prefixes,0,0,PASS,
P227004,PROGRAM_227,Traceability rows,24,24,PASS,
P227005,PROGRAM_227,Frozen catalog parity,True,True,PASS,
P227006,PROGRAM_227,Result block hashes,24/24,24/24,PASS,
P227007,PROGRAM_227,Projection parity,24/24,24/24,PASS,
P227008,PROGRAM_227,Order/cardinality trace parity,24/24,24/24,PASS,
P227009,PROGRAM_227,Zero-row headers,2/2,2/2,PASS,
P227010,PROGRAM_227,Result markers,01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,PASS,
P227011,PROGRAM_227,Cardinality ledger,24,24,PASS,
P227012,PROGRAM_227,Cardinality gate,True,True,PASS,
P227013,PROGRAM_227,Fingerprint query parity,True,True,PASS,
P227014,PROGRAM_227,Fingerprint guard,True,True,PASS,
P227015,PROGRAM_227,All results before commit,True,True,PASS,
AUTH001,GOVERNANCE,Source identity rows,16,16,PASS,
AUTH002,GOVERNANCE,Source authority,M2_12_WP4_R1_SOURCE_CONSTRUCTED_FOR_INDEPENDENT_REVIEW,M2_12_WP4_R1_SOURCE_CONSTRUCTED_FOR_INDEPENDENT_REVIEW,PASS,
BOUND001,BOUNDARY,PostgreSQL execution,NOT_PERFORMED,NOT_PERFORMED,PASS,
BOUND002,BOUNDARY,Runtime validation,NOT_CLAIMED,NOT_CLAIMED,PASS,
BOUND003,BOUNDARY,M2.12 acceptance,NOT_CLAIMED,NOT_CLAIMED,PASS,
BOUND004,BOUNDARY,Execution/WP5 package,NOT_CREATED,NOT_CREATED,PASS,
BOUND005,BOUNDARY,Programs 228+,0,0,PASS,
AUDIT001,SUBMITTED_AUDIT,Submitted controls,23/23,23/23,PASS,
