reference_label,source_path,expected_sha256,actual_sha256,exists,status,purpose
RECOVERY_214B,M2_11_WORK_PACKAGE_2_REVISION_1/recovery/214B_msbf_m2_11_committed_generation_checkpoint_reconstruction_v1.sql,7381c9c37e2e1293910f53461e8a0282ca3cccc5298f35d196c349bcfca591f3,7381c9c37e2e1293910f53461e8a0282ca3cccc5298f35d196c349bcfca591f3,YES,PASS,Current recovery SQL; not authorized
RECOVERY_215A,M2_11_WORK_PACKAGE_3/recovery/215A_msbf_m2_11_failed_positive_validation_recovery_v1.sql,56fd8f2549046483e826b475f3c42ca0576517d20402e34f8a2a53a3d24d0bb3,56fd8f2549046483e826b475f3c42ca0576517d20402e34f8a2a53a3d24d0bb3,YES,PASS,Current recovery SQL; not authorized
WP2_AUTH_R9,m2_11_r4_extract/M2_11_STANDALONE_EXECUTION_PACKAGE_20260806_R4/05_governance/03_source_authority/M2_11_WP2_SOURCE_AUTHORITY_R9.md,8e921c45267dead71fb3d8e58920bfdaf4420fcde23f7e589ae2fd3c9f35a6a8,8e921c45267dead71fb3d8e58920bfdaf4420fcde23f7e589ae2fd3c9f35a6a8,YES,PASS,Wp2 Auth R9
WP3_AUTH_R5,M2_11_WORK_PACKAGE_3_REVISION_5/M2_11_WP3_SOURCE_AUTHORITY_R5.md,f4a097f676f01335dc4dced4ec128e8ecf1e37f09163b35242eabf17e50d6467,f4a097f676f01335dc4dced4ec128e8ecf1e37f09163b35242eabf17e50d6467,YES,PASS,Wp3 Auth R5
WP4_AUTH_R4,M2_11_WORK_PACKAGE_4_REVISION_4/M2_11_WP4_SOURCE_AUTHORITY_R4.md,31ee90eb82cd14d80842a5b16aa25ed11604521b5cdb0d87b303f7158bb7d46c,31ee90eb82cd14d80842a5b16aa25ed11604521b5cdb0d87b303f7158bb7d46c,YES,PASS,Wp4 Auth R4
LIVE_RESUME_AUTH_R4,M2_11_LIVE_EXECUTION_NEGATIVE_CONTROL_011_CORRECTION_R1/M2_11_LIVE_EXECUTION_RESUME_SOURCE_AUTHORITY_R4.md,aa8083898afa9f5f55f2fb6c0c157703e5e13525aef12a3eb7678bf2b7c5ccd4,aa8083898afa9f5f55f2fb6c0c157703e5e13525aef12a3eb7678bf2b7c5ccd4,YES,PASS,Live Resume Auth R4
NEGATIVE_CATALOG_R5,M2_11_WORK_PACKAGE_3_REVISION_5/catalogs/M2_11_NEGATIVE_CONTROL_CATALOG.csv,5d12a404e43fc144efbf688f7c945b7a6e7d19b82132a11ffb2058399aae84ee,5d12a404e43fc144efbf688f7c945b7a6e7d19b82132a11ffb2058399aae84ee,YES,PASS,Negative Catalog R5
TRACEABILITY_R5,M2_11_WORK_PACKAGE_3_REVISION_5/catalogs/M2_11_CONTROL_TRACEABILITY_MATRIX.csv,d10386983cddd4ab9129e7e804dd126f5c3f6b442f99d185ded9e78c321fb03e,d10386983cddd4ab9129e7e804dd126f5c3f6b442f99d185ded9e78c321fb03e,YES,PASS,Traceability R5
POSITIVE_CATALOG_R4,m2_11_r4_extract/M2_11_STANDALONE_EXECUTION_PACKAGE_20260806_R4/04_catalogs/validation/M2_11_POSITIVE_CONTROL_CATALOG.csv,5a0137e5ced07cb0db46f9f4d0ed34628faf86e6a9062efca36be42f66417492,5a0137e5ced07cb0db46f9f4d0ed34628faf86e6a9062efca36be42f66417492,YES,PASS,Positive Catalog R4
ACCEPTANCE_MATRIX_R3,m2_11_r4_extract/M2_11_STANDALONE_EXECUTION_PACKAGE_20260806_R4/04_catalogs/validation/M2_11_ACCEPTANCE_REQUIREMENT_MATRIX.csv,211a8d4fd71f5a9100acf655c0b81ff4933779911a7a2c9ccdf67d2d0dc78c26,211a8d4fd71f5a9100acf655c0b81ff4933779911a7a2c9ccdf67d2d0dc78c26,YES,PASS,Acceptance Matrix R3
DETAIL_CATALOG,m2_11_r4_extract/M2_11_STANDALONE_EXECUTION_PACKAGE_20260806_R4/04_catalogs/reporting/M2_11_DETAIL_RESULT_SET_CATALOG.csv,7647e699a0728392d962865948510ed4009a221dab89255dd6106eecb15ef44a,7647e699a0728392d962865948510ed4009a221dab89255dd6106eecb15ef44a,YES,PASS,Detail Catalog
CORRECTION_RECORD,M2_11_LIVE_EXECUTION_NEGATIVE_CONTROL_011_CORRECTION_R1/M2_11_LIVE_EXECUTION_NEGATIVE_CONTROL_011_CORRECTION_R1.md,d4f9447653cf51685bb2eba36a20dec34a88a643961ffcf23b3ea76e2467ae45,d4f9447653cf51685bb2eba36a20dec34a88a643961ffcf23b3ea76e2467ae45,YES,PASS,Correction Record
CORRECTION_AUTHORIZATION,M2_11_LIVE_EXECUTION_NEGATIVE_CONTROL_011_CORRECTION_R1/M2_11_LIVE_EXECUTION_NEGATIVE_CONTROL_011_CORRECTION_AUTHORIZATION_R1.md,dac2470204d8425842300af3ff3cd7f5582b874da05aafead395ba257e5eb6f9,dac2470204d8425842300af3ff3cd7f5582b874da05aafead395ba257e5eb6f9,YES,PASS,Correction Authorization
CORRECTION_STATIC_JSON,M2_11_LIVE_EXECUTION_NEGATIVE_CONTROL_011_CORRECTION_R1/reports/M2_11_LIVE_EXECUTION_NEGATIVE_CONTROL_011_CORRECTION_STATIC_AUDIT_RESULTS.json,e737893bea7631de1c0cfefc6ffaee6f007f4bd0945541c785866d7e85968f72,e737893bea7631de1c0cfefc6ffaee6f007f4bd0945541c785866d7e85968f72,YES,PASS,Correction Static Json
CORRECTION_STATIC_MD,M2_11_LIVE_EXECUTION_NEGATIVE_CONTROL_011_CORRECTION_R1/reports/M2_11_LIVE_EXECUTION_NEGATIVE_CONTROL_011_CORRECTION_STATIC_AUDIT.md,db60ad4e22cd9a869827d730d6186017c6f423d89c5bbe26770f668d7641927e,db60ad4e22cd9a869827d730d6186017c6f423d89c5bbe26770f668d7641927e,YES,PASS,Correction Static Md
LIVE_POSITIVE_RESULT,215_msbf_m2_11_positive_validation_v1_results_20260806.csv,3bc91c379784a94f2a1780112a66cf2e68e6e38aad8cb14edaff0b388bfac098,3bc91c379784a94f2a1780112a66cf2e68e6e38aad8cb14edaff0b388bfac098,YES,PASS,Live Positive Result
LIVE_216_ERROR,M2_11_LIVE_EXECUTION_NEGATIVE_CONTROL_011_CORRECTION_R1/evidence/216_negative_control_011_execution_error.txt,166a558d590973b62342897c35f3ae5759ce1041869035e56a8a851151816ae3,166a558d590973b62342897c35f3ae5759ce1041869035e56a8a851151816ae3,YES,PASS,Live 216 Error
SOURCE_DIAGNOSTIC,M2_11_LIVE_EXECUTION_NEGATIVE_CONTROL_011_CORRECTION_R1/diagnostics/M2_11_NEGATIVE_CONTROL_011_SOURCE_SAMPLE_DIAGNOSTIC.csv,5fccb830fddb509b4952611633b6ebd36383c45372553574e24a4c2c3378ef01,5fccb830fddb509b4952611633b6ebd36383c45372553574e24a4c2c3378ef01,YES,PASS,Source Diagnostic
DIFF_INVENTORY,M2_11_LIVE_EXECUTION_NEGATIVE_CONTROL_011_CORRECTION_R1/catalogs/M2_11_NEGATIVE_CONTROL_011_CORRECTION_DIFF_INVENTORY.csv,4441ed29d284e60fb4ef5e74fa468eb547420ad48c5fe486ab770c45c7e21bf8,4441ed29d284e60fb4ef5e74fa468eb547420ad48c5fe486ab770c45c7e21bf8,YES,PASS,Diff Inventory
