table_schema,table_name,ordinal_position,column_name,data_type_and_constraints,description
msbf_m1,application_exposure_recovery_loss_snapshot,33,total_recovery_credit_rate,"numeric(12,8) NOT NULL",Total recovery credit rate.
msbf_m1,application_exposure_recovery_loss_snapshot,34,recovery_basis_code,text NOT NULL,Recovery basis code.
msbf_m1,application_exposure_recovery_loss_snapshot,35,recovery_rate_assumption,"numeric(12,8) NOT NULL",One minus LGD input rate.
msbf_m1,application_exposure_recovery_loss_snapshot,36,lgd_input_rate,"numeric(12,8) NOT NULL",Governed synthetic LGD foundation.
msbf_m1,application_exposure_recovery_loss_snapshot,37,simple_comparative_expected_loss_amount,"numeric(18,2)",Risk proxy × LGD × initial exposure.
msbf_m1,application_exposure_recovery_loss_snapshot,38,schedule_adjusted_comparative_expected_loss_amount,"numeric(18,2)",Risk proxy × LGD × path-weighted EAD.
msbf_m1,application_exposure_recovery_loss_snapshot,39,simple_comparative_loss_rate,"numeric(12,8)",Simple comparative loss rate.
msbf_m1,application_exposure_recovery_loss_snapshot,40,schedule_adjusted_comparative_loss_rate,"numeric(12,8)",Schedule adjusted comparative loss rate.
msbf_m1,application_exposure_recovery_loss_snapshot,41,stress_ead_worsening_flag,boolean NOT NULL,Stress ead worsening flag.
msbf_m1,application_exposure_recovery_loss_snapshot,42,stress_lgd_worsening_flag,boolean NOT NULL,Stress lgd worsening flag.
msbf_m1,application_exposure_recovery_loss_snapshot,43,stress_loss_worsening_flag,boolean NOT NULL,Stress loss worsening flag.
msbf_m1,application_exposure_recovery_loss_snapshot,44,hard_stop_recommended_flag,boolean NOT NULL,Hard stop recommended flag.
msbf_m1,application_exposure_recovery_loss_snapshot,45,manual_review_recommended_flag,boolean NOT NULL,Manual review recommended flag.
msbf_m1,application_exposure_recovery_loss_snapshot,46,fallback_path_code,text NOT NULL,Fallback path code.
msbf_m1,application_exposure_recovery_loss_snapshot,47,primary_loss_reason_code,text NOT NULL,Primary loss reason code.
msbf_m1,application_exposure_recovery_loss_snapshot,48,secondary_loss_reason_codes,text[] DEFAULT '{}'::text[] NOT NULL,Secondary loss reason codes.
msbf_m1,application_exposure_recovery_loss_snapshot,49,row_hash,text NOT NULL,Deterministic physical-row hash.
msbf_m1,application_exposure_recovery_loss_snapshot,50,created_by_run_id,bigint NOT NULL,Run that generated the record.
msbf_m1,application_exposure_recovery_loss_snapshot,51,created_at,timestamptz DEFAULT clock_timestamp() NOT NULL,Database creation timestamp.
