table_name,column_name,dependency_role
msbf_ctl.scenario_set,status,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.run_evidence,run_id,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.run_evidence,evidence_code,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.run_evidence,segment_key,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.run_evidence,metric_value_numeric,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.run_evidence,metric_value_text,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.run_evidence,status,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.acceptance_gate_result,run_id,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.acceptance_gate_result,gate_id,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.acceptance_gate_result,review_version,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.acceptance_gate_result,result_status,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.profile_resolution_error,resolution_error_id,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.profile_resolution_error,run_id,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.profile_resolution_error,severity,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_ctl.profile_resolution_error,error_code,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.population_registry,population_id,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.population_registry,population_hash,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.merchant_application,merchant_application_id,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.merchant_application,merchant_id,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.merchant_application,requested_funding_amount,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.merchant_application,requested_total_repayment_amount,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.merchant_application,requested_finance_charge_amount,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.merchant_application,requested_expected_payoff_days,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.merchant_application,request_hash,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.merchant_application,partner_channel_id,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.merchant_application,relationship_stage,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.merchant_master,merchant_id,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.merchant_master,merchant_size_tier,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.application_integrated_risk_proxy_snapshot,module1_run_id,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.application_integrated_risk_proxy_snapshot,scenario_id,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.application_integrated_risk_proxy_snapshot,merchant_application_id,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.application_integrated_risk_proxy_snapshot,population_id,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.application_integrated_risk_proxy_snapshot,merchant_id,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.application_integrated_risk_proxy_snapshot,as_of_date,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.application_integrated_risk_proxy_snapshot,industry_code,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.application_integrated_risk_proxy_snapshot,integrated_risk_evidence_status,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.application_integrated_risk_proxy_snapshot,synthetic_merchant_risk_proxy,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.application_integrated_risk_proxy_snapshot,integrated_risk_tier,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.application_integrated_risk_proxy_snapshot,hard_stop_recommended_flag,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.application_integrated_risk_proxy_snapshot,manual_review_recommended_flag,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.application_integrated_risk_proxy_snapshot,row_hash,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.application_liquidity_capacity_snapshot,module1_run_id,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.application_liquidity_capacity_snapshot,scenario_id,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.application_liquidity_capacity_snapshot,merchant_application_id,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.application_liquidity_capacity_snapshot,requested_daily_remittance_amount,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.application_liquidity_capacity_snapshot,manual_review_recommended_flag,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.application_liquidity_capacity_snapshot,row_hash,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.source_snapshot,module1_run_id,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.source_snapshot,merchant_application_id,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.source_snapshot,source_code,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.source_snapshot,availability_status,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.source_snapshot,quality_status,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.collateral_availability_snapshot,merchant_application_id,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.collateral_availability_snapshot,available_value,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.collateral_availability_snapshot,ownership_verified_flag,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.collateral_availability_snapshot,created_by_run_id,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.guarantee_availability_snapshot,merchant_application_id,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.guarantee_availability_snapshot,guarantee_available_flag,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.guarantee_availability_snapshot,guarantee_capacity_amount,"M1.13 governed input, lineage, configuration, or acceptance evidence"
msbf_m1.guarantee_availability_snapshot,created_by_run_id,"M1.13 governed input, lineage, configuration, or acceptance evidence"
